n,d,Exact,Approx,Factor,Factor*1.2,size,time(s),time(us)
50,50,21.5091,28.5344,1.326619896,1.591943875,3,0.0331104,33110.4
50,100,29.0965,38.2406,1.314268039,1.577121647,2,0.0427691,42769.1
50,150,35.4799,47.7811,1.346708982,1.616050778,2,0.0639676,63967.6
50,200,41.0132,48.7879,1.189565798,1.427478958,1,0.0571866,57186.6
50,250,45.5678,54.3195,1.192058866,1.430470639,1,0.0712217,71221.7
50,300,49.5875,63.7159,1.284918578,1.541902294,1,0.0837901,83790.1
50,350,53.588,68.2052,1.272770023,1.527324028,1,0.0984996,98499.6
50,400,57.4754,69.9816,1.217592222,1.461110666,1,0.113637,113637
50,450,60.7899,75.0753,1.234996274,1.481995529,1,0.129247,129247
50,500,64.0277,83.3592,1.301924011,1.562308813,1,0.149874,149874
50,550,67.0455,87.6837,1.307823791,1.56938855,1,0.157688,157688
50,600,70.1547,90.1125,1.284482722,1.541379266,1,0.166185,166185
50,650,72.8718,90.0675,1.23597194,1.483166328,1,0.180012,180012
50,700,75.5722,92.6481,1.225954782,1.471145739,1,0.197738,197738
50,750,78.3315,99.2551,1.267116039,1.520539247,1,0.208683,208683
50,800,80.9331,105.357,1.301778877,1.562134652,1,0.222305,222305
50,850,83.182,106.557,1.281010315,1.537212378,1,0.244752,244752
50,900,85.7309,108.922,1.270510399,1.524612479,1,0.261309,261309
50,950,88.0886,113.7,1.290745908,1.54889509,1,0.262524,262524
50,1000,90.2298,115.032,1.274878144,1.529853773,1,0.280089,280089
100,100,29.8473,38.2406,1.281208015,1.537449619,2,0.0497156,49715.6
100,150,35.8823,46.0104,1.282258941,1.538710729,2,0.0719424,71942.4
100,200,41.4998,50.389,1.214198623,1.457038347,1,0.0685228,68522.8
100,250,46.2882,57.1752,1.235200332,1.482240398,1,0.0910469,91046.9
100,300,50.4009,65.255,1.294718944,1.553662732,1,0.103286,103286
100,350,54.2836,68.72,1.265944042,1.51913285,1,0.121553,121553
100,400,58.0874,74.3378,1.279757744,1.535709293,1,0.137573,137573
100,450,61.4326,78.4061,1.276294671,1.531553605,1,0.153756,153756
100,500,64.6999,81.1031,1.25352744,1.504232928,1,0.170881,170881
100,550,67.8465,82.867,1.22138946,1.465667352,1,0.188233,188233
100,600,70.7015,89.3087,1.263179706,1.515815647,1,0.203139,203139
100,650,73.6522,91.6458,1.24430499,1.493165988,1,0.2193,219300
100,700,76.3623,93.2408,1.221031844,1.465238213,1,0.236263,236263
100,750,79.0151,101.953,1.290297677,1.548357213,1,0.253621,253621
