n,d,MSB,Approx(0.1),Results(0.1),u,time(s),time(us),,,,
50,50,21.5091,28.5344,1.326619896,3,0.0331104,33110.4,,1.724605864,,
50,100,29.0965,38.2406,1.314268039,2,0.0427691,42769.1,,1.708548451,,
50,150,35.4799,47.7811,1.346708982,2,0.0639676,63967.6,,1.750721676,,
50,200,41.0132,48.7879,1.189565798,1,0.0571866,57186.6,,1.546435538,,
50,250,45.5678,54.3195,1.192058866,1,0.0712217,71221.7,,1.549676526,,
50,300,49.5875,63.7159,1.284918578,1,0.0837901,83790.1,,1.670394152,,
50,350,53.588,68.2052,1.272770023,1,0.0984996,98499.6,,1.65460103,,
50,400,57.4754,69.9816,1.217592222,1,0.113637,113637,,1.582869889,,
50,450,60.7899,75.0753,1.234996274,1,0.129247,129247,,1.605495156,,
50,500,64.0277,83.3592,1.301924011,1,0.149874,149874,,1.692501214,,
50,550,67.0455,87.6837,1.307823791,1,0.157688,157688,,1.700170929,,
50,600,70.1547,90.1125,1.284482722,1,0.166185,166185,,1.669827538,,
50,650,72.8718,90.0675,1.23597194,1,0.180012,180012,,1.606763522,,
50,700,75.5722,92.6481,1.225954782,1,0.197738,197738,,1.593741217,,
50,750,78.3315,99.2551,1.267116039,1,0.208683,208683,,1.647250851,,
50,800,80.9331,105.357,1.301778877,1,0.222305,222305,,1.69231254,,
50,850,83.182,106.557,1.281010315,1,0.244752,244752,,1.665313409,,
50,900,85.7309,108.922,1.270510399,1,0.261309,261309,,1.651663519,,
50,950,88.0886,113.7,1.290745908,1,0.262524,262524,,1.677969681,,
50,1000,90.2298,115.032,1.274878144,1,0.280089,280089,,1.657341588,,
100,50,21.5966,29.961,1.387301705,2,0.0280844,28084.4,,1.803492216,,
100,100,29.8473,38.2406,1.281208015,2,0.0497156,49715.6,,1.66557042,,
100,150,35.8823,46.0104,1.282258941,2,0.0719424,71942.4,,1.666936623,,
100,200,41.4998,50.389,1.214198623,1,0.0685228,68522.8,,1.578458209,,
