n , d , MSB , Approx(0.1) , Results(0.1) , u , time(s) , time(us)
50,50,21.5091,32.1771,1.495976122,6,0.570284,570284
50,100,29.0965,44.2983,1.522461464,3,0.557898,557898
50,150,35.4799,47.9062,1.350234922,3,0.823511,823511
50,200,41.0132,56.3659,1.37433558,2,0.760174,760174
50,250,45.5678,63.6755,1.39737929,3,1.43795,1.44E+06
50,300,49.5875,73.1992,1.476162339,2,1.10058,1.10E+06
50,350,53.588,73.2502,1.366914235,1,0.830836,830836
50,400,57.4754,81.5618,1.419073203,2,1.55505,1.56E+06
50,450,60.7899,86.0117,1.41490116,2,1.72835,1.73E+06
50,500,64.0277,89.5251,1.398224518,1,1.21292,1.21E+06
50,550,67.0455,94.1695,1.404561082,1,1.543,1.54E+06
50,600,70.1547,96.7779,1.37949275,1,1.55715,1.56E+06
50,650,72.8718,104.717,1.437003066,2,2.36212,2.36E+06
50,700,75.5722,106.254,1.405993209,2,2.53689,2.54E+06
50,750,78.3315,106.597,1.360844616,1,1.75672,1.76E+06
50,800,80.9331,113.15,1.398068281,1,1.92379,1.92E+06
50,850,83.182,114.439,1.375766392,1,1.97776,1.98E+06
50,900,85.7309,116.979,1.364490516,1,2.1044,2.10E+06
50,950,88.0886,122.11,1.386217967,1,2.27382,2.27E+06
50,1000,90.2298,123.541,1.3691818,1,2.34861,2.35E+06
100,50,21.5966,31.054,1.437911523,4,0.417579,417579
100,100,29.8473,43.3279,1.451652243,3,0.587738,587738
100,150,35.8823,49.8748,1.389955493,2,0.608516,608516
100,200,41.4998,60.2367,1.451493742,2,0.852321,852321
100,250,46.2882,65.5697,1.416553247,2,0.981481,981481
100,300,50.4009,70.0818,1.390487075,1,0.747203,747203
100,350,54.2836,79.93,1.472452085,2,1.35784,1.36E+06
100,400,58.0874,79.8365,1.37442027,1,1.05469,1.05E+06
100,450,61.4326,84.2056,1.370698945,1,1.12317,1.12E+06
100,500,64.6999,87.1021,1.34624783,1,1.34212,1.34E+06
100,550,67.8465,95.578,1.408738844,2,2.28197,2.28E+06
100,600,70.7015,95.9147,1.356614782,1,1.4939,1.49E+06
100,650,73.6522,98.4246,1.336342974,1,1.56574,1.57E+06
100,700,76.3623,110.056,1.441234745,2,2.57282,2.57E+06
100,750,79.0151,109.494,1.385735132,1,1.81185,1.81E+06
100,800,81.6823,117.493,1.438414442,2,2.92508,2.93E+06
100,850,83.9793,116.462,1.386794127,1,2.0332,2.03E+06
100,900,86.5877,122.344,1.412948952,2,3.30271,3.30E+06
100,950,88.8065,121.727,1.370699217,1,2.2952,2.30E+06
100,1000,91.1726,123.329,1.352698069,1,2.39569,2.40E+06
150,50,21.7029,30.9334,1.425311825,4,0.472163,472163
150,100,30.0254,40.4848,1.348351729,2,0.417774,417774
150,150,36.2857,50.9316,1.403627324,2,0.591824,591824
150,200,41.8247,56.7377,1.356559641,1,0.519303,519303
150,250,46.7018,66.4545,1.422953719,2,0.970536,970536
150,300,50.6811,70.0818,1.382799505,2,1.158,1.16E+06
150,350,54.5327,74.3643,1.36366437,1,0.91327,913270
150,400,58.4037,77.8093,1.33226662,1,1.02278,1.02E+06
150,450,61.8085,83.9778,1.358677205,1,1.14395,1.14E+06
150,500,65.1053,87.1021,1.337864966,1,1.26776,1.27E+06
150,550,68.2882,95.578,1.399626876,2,2.34311,2.34E+06
150,600,71.1692,98.0775,1.378089117,1,1.52712,1.53E+06
150,650,74.007,103.158,1.393895172,2,2.46734,2.47E+06
150,700,76.7752,106.636,1.388938095,2,2.66179,2.66E+06
150,750,79.4286,109.464,1.378143389,2,2.84073,2.84E+06
150,800,82.1456,113.8,1.385345046,2,3.02614,3.03E+06
150,850,84.5184,116.482,1.378185105,2,3.20357,3.20E+06
150,900,87.1214,122.344,1.404293319,2,3.43851,3.44E+06
150,950,89.3595,121.727,1.362216664,1,2.35291,2.35E+06
150,1000,91.5932,123.329,1.34648642,1,2.47981,2.48E+06
200,50,22.0761,30.9334,1.4012167,3,0.324756,324756
200,100,30.1489,43.3494,1.437843503,3,0.564301,564301
200,150,36.5317,51.3154,1.404681414,2,0.604383,604383
200,200,42.0437,57.3113,1.363136451,1,0.535208,535208
200,250,46.7695,65.2698,1.395563348,2,0.979391,979391
200,300,50.886,72.0929,1.416753134,2,1.17751,1.18E+06
200,350,54.9214,74.3643,1.35401319,1,0.952582,952582
200,400,58.6087,83.0828,1.417584761,2,1.57636,1.58E+06
200,450,62.1436,91.4306,1.471279424,3,2.51381,2.51E+06
200,500,65.4188,94.11,1.43857729,2,2.0714,2.07E+06
200,550,68.5501,93.3623,1.361957167,2,2.19882,2.20E+06
200,600,71.4571,98.0775,1.372536809,1,1.5841,1.58E+06
200,650,74.3713,103.158,1.387067323,2,2.48202,2.48E+06
200,700,77.2311,106.754,1.382266988,2,2.73078,2.73E+06
200,750,79.8089,107.039,1.341191271,1,1.93976,1.94E+06
200,800,82.4507,114.798,1.392322928,2,3.11183,3.11E+06
200,850,84.908,114.773,1.351733641,1,2.16549,2.17E+06
200,900,87.2649,122.344,1.401984074,2,3.47439,3.47E+06
200,950,89.5986,121.727,1.358581496,1,2.46736,2.47E+06
200,1000,91.7531,123.329,1.344139871,1,2.60847,2.61E+06
250,50,22.2393,30.5993,1.375911112,7,0.754734,754734
250,100,30.3053,40.4848,1.335898341,2,0.454051,454051
250,150,36.7657,51.3154,1.395741139,2,0.688285,688285
250,200,42.1322,58.5692,1.390129165,3,1.08985,1.09E+06
250,250,46.9309,65.2698,1.390763868,2,1.01859,1.02E+06
250,300,51.1754,70.0617,1.369050364,2,1.20469,1.20E+06
250,350,55.0957,74.3643,1.349729652,1,1.05527,1.06E+06
250,400,58.787,83.4308,1.419204926,2,1.7882,1.79E+06
250,450,62.3779,85.9248,1.37748786,2,1.87028,1.87E+06
250,500,65.6082,87.8392,1.33884484,1,1.3543,1.35E+06
250,550,68.9041,97.6574,1.417294472,2,2.18282,2.18E+06
250,600,71.7611,102.976,1.434983577,2,2.38417,2.38E+06
250,650,74.6239,107.348,1.438520367,2,2.54891,2.55E+06
250,700,77.3501,110.056,1.422829447,2,2.7516,2.75E+06
250,750,79.9303,107.039,1.339154238,1,1.9653,1.97E+06
250,800,82.5576,114.798,1.390520073,2,3.18958,3.19E+06
250,850,85.0194,114.773,1.349962479,1,2.23511,2.24E+06
250,900,87.326,122.344,1.401003138,2,3.64562,3.65E+06
250,950,89.6854,121.727,1.357266623,1,2.53034,2.53E+06
250,1000,91.9216,123.329,1.34167595,1,2.66349,2.66E+06
300,50,22.2959,34.5575,1.549948645,5,0.508746,508746
300,100,30.3984,43.3494,1.42604216,3,0.589301,589301
300,150,36.8441,54.7428,1.485795555,4,1.16913,1.17E+06
300,200,42.278,62.8408,1.486371162,4,1.58027,1.58E+06
300,250,47.0073,68.9865,1.467569931,3,1.37348,1.37E+06
300,300,51.3102,70.0617,1.365453652,2,1.23216,1.23E+06
300,350,55.2364,79.8306,1.445253492,3,2.03659,2.04E+06
300,400,58.9472,78.6692,1.334570599,1,1.12918,1.13E+06
300,450,62.6027,91.4306,1.460489723,3,2.78818,2.79E+06
300,500,65.9123,91.8996,1.394270872,2,2.0204,2.02E+06
300,550,69.1248,97.6574,1.412769368,2,2.30967,2.31E+06
300,600,71.8602,102.74,1.429720485,2,2.45865,2.46E+06
300,650,74.7284,98.1156,1.312962676,1,1.77322,1.77E+06
300,700,77.4514,110.056,1.420968504,2,2.80688,2.81E+06
300,750,80.0144,107.039,1.337746706,1,2.05005,2.05E+06
300,800,82.6704,115.273,1.39436848,2,3.21037,3.21E+06
300,850,85.0996,114.773,1.348690241,1,2.29285,2.29E+06
300,900,87.4303,114.818,1.313251813,1,2.44705,2.45E+06
300,950,89.7562,121.131,1.349555797,1,2.5876,2.59E+06
300,1000,92.0096,122.538,1.331795813,1,2.69639,2.70E+06
350,50,22.4101,33.6811,1.50294287,4,0.41387,413870
350,100,30.4639,40.4848,1.328943438,4,0.776675,776675
350,150,36.864,54.7428,1.48499349,3,0.853178,853178
350,200,42.3767,58.5692,1.382108564,3,1.11364,1.11E+06
350,250,47.1217,68.9865,1.464007029,3,1.38815,1.39E+06
350,300,51.4069,69.1353,1.344864211,2,1.31284,1.31E+06
350,350,55.4157,75.1829,1.356707576,2,1.46343,1.46E+06
350,400,59.2229,80.3324,1.356441512,1,1.1255,1.13E+06
350,450,62.638,91.4306,1.459666656,3,2.50831,2.51E+06
350,500,66.0072,93.3072,1.413591245,2,2.11077,2.11E+06
350,550,69.1936,96.5991,1.396069868,2,2.41563,2.42E+06
350,600,71.8963,102.74,1.429002605,2,2.67388,2.67E+06
350,650,74.7951,107.348,1.435227709,2,2.67085,2.67E+06
350,700,77.5318,103.65,1.336870807,1,1.97594,1.98E+06
350,750,80.0973,107.039,1.33636215,1,2.09659,2.10E+06
350,800,82.7513,115.661,1.397694054,1,2.22682,2.23E+06
350,850,85.1911,118.641,1.392645476,2,3.4476,3.45E+06
350,900,87.4759,119.03,1.360717638,1,2.54235,2.54E+06
350,950,89.8371,121.131,1.348340496,1,2.67247,2.67E+06
350,1000,92.0849,121.539,1.319858087,1,2.84492,2.84E+06
