1,2,3,4,5
1,0,0,1,1
2,1.38629,69.3147,4,8
3,3.29584,108.763,9,27
4,5.54518,138.629,16,64
5,8.04719,160.944,25,125
6,10.7506,172.009,36,216
7,13.6214,190.699,49,343
8,16.6355,199.626,64,512
9,19.775,217.525,81,729
10,23.0259,230.259,100,1000
11,26.3768,237.392,121,1331
12,29.8189,238.551,144,1728
13,33.3443,233.41,169,2197
14,36.9468,258.628,196,2744
15,40.6208,243.725,225,3375
16,44.3614,266.169,256,4096
17,48.1646,240.823,289,4913
18,52.0267,260.133,324,5832
19,55.9443,279.722,361,6859
20,59.9146,299.573,400,8000
21,63.935,255.74,441,9261
22,68.0029,272.012,484,10648
23,72.1164,288.465,529,12167
24,76.2733,305.093,576,13824
25,80.4719,321.888,625,15625
26,84.7105,254.132,676,17576
27,88.9876,266.963,729,19683
28,93.3017,279.905,784,21952
29,97.6516,292.955,841,24389
30,102.036,306.108,900,27000
31,106.454,319.361,961,29791
32,110.904,332.711,1024,32768
33,115.385,346.154,1089,35937
34,119.896,239.793,1156,39304
35,124.437,248.874,1225,42875
36,129.007,258.013,1296,46656
37,133.604,267.208,1369,50653
38,138.228,276.457,1444,54872
39,142.879,285.758,1521,59319
40,147.555,295.11,1600,64000
41,152.256,304.513,1681,68921
42,156.982,313.964,1764,74088
43,161.732,323.463,1849,79507
44,166.504,333.009,1936,85184
45,171.3,342.6,2025,91125
46,176.118,352.235,2116,97336
47,180.957,361.914,2209,103823
48,185.818,371.635,2304,110592
49,190.699,381.398,2401,117649
50,195.601,391.202,2500,125000
51,200.523,200.523,2601,132651
52,205.465,205.465,2704,140608
53,210.425,210.425,2809,148877
54,215.405,215.405,2916,157464
55,220.403,220.403,3025,166375
56,225.42,225.42,3136,175616
57,230.454,230.454,3249,185193
58,235.506,235.506,3364,195112
59,240.575,240.575,3481,205379
60,245.661,245.661,3600,216000
61,250.763,250.763,3721,226981
62,255.882,255.882,3844,238328
63,261.017,261.017,3969,250047
64,266.169,266.169,4096,262144
65,271.335,271.335,4225,274625
66,276.517,276.517,4356,287496
67,281.714,281.714,4489,300763
68,286.927,286.927,4624,314432
69,292.153,292.153,4761,328509
70,297.395,297.395,4900,343000
71,302.65,302.65,5041,357911
72,307.92,307.92,5184,373248
73,313.204,313.204,5329,389017
74,318.501,318.501,5476,405224
75,323.812,323.812,5625,421875
76,329.136,329.136,5776,438976
77,334.473,334.473,5929,456533
78,339.823,339.823,6084,474552
79,345.186,345.186,6241,493039
80,350.562,350.562,6400,512000
81,355.95,355.95,6561,531441
82,361.351,361.351,6724,551368
83,366.764,366.764,6889,571787
84,372.189,372.189,7056,592704
85,377.625,377.625,7225,614125
86,383.074,383.074,7396,636056
87,388.534,388.534,7569,658503
88,394.006,394.006,7744,681472
89,399.489,399.489,7921,704969
90,404.983,404.983,8100,729000
91,410.488,410.488,8281,753571
92,416.005,416.005,8464,778688
93,421.532,421.532,8649,804357
94,427.07,427.07,8836,830584
95,432.618,432.618,9025,857375
96,438.177,438.177,9216,884736
97,443.747,443.747,9409,912673
98,449.327,449.327,9604,941192
99,454.917,454.917,9801,970299
100,460.517,460.517,10000,1000000
101,466.127,0,10201,1030301
102,471.747,0,10404,1061208
103,477.377,0,10609,1092727
104,483.017,0,10816,1124864
105,488.666,0,11025,1157625
106,494.325,0,11236,1191016
107,499.993,0,11449,1225043
108,505.67,0,11664,1259712
109,511.357,0,11881,1295029
110,517.053,0,12100,1331000
111,522.758,0,12321,1367631
112,528.472,0,12544,1404928
113,534.195,0,12769,1442897
114,539.927,0,12996,1481544
115,545.667,0,13225,1520875
116,551.416,0,13456,1560896
117,557.174,0,13689,1601613
118,562.941,0,13924,1643032
119,568.716,0,14161,1685159
120,574.499,0,14400,1728000
121,580.291,0,14641,1771561
122,586.091,0,14884,1815848
123,591.899,0,15129,1860867
124,597.715,0,15376,1906624
125,603.539,0,15625,1953125
126,609.372,0,15876,2000376
127,615.212,0,16129,2048383
128,621.06,0,16384,2097152
129,626.916,0,16641,2146689
130,632.779,0,16900,2197000
131,638.651,0,17161,2248091
132,644.53,0,17424,2299968
133,650.416,0,17689,2352637
134,656.311,0,17956,2406104
135,662.212,0,18225,2460375
136,668.121,0,18496,2515456
137,674.037,0,18769,2571353
138,679.961,0,19044,2628072
139,685.892,0,19321,2685619
140,691.83,0,19600,2744000
141,697.775,0,19881,2803221
142,703.727,0,20164,2863288
143,709.687,0,20449,2924207
144,715.653,0,20736,2985984
145,721.626,0,21025,3048625
146,727.607,0,21316,3112136
147,733.594,0,21609,3176523
148,739.587,0,21904,3241792
149,745.588,0,22201,3307949
150,751.595,0,22500,3375000
151,757.609,0,22801,3442951
152,763.63,0,23104,3511808
153,769.657,0,23409,3581577
154,775.691,0,23716,3652264
155,781.731,0,24025,3723875
156,787.778,0,24336,3796416
157,793.831,0,24649,3869893
158,799.89,0,24964,3944312
159,805.956,0,25281,4019679
160,812.028,0,25600,4096000
161,818.106,0,25921,4173281
162,824.191,0,26244,4251528
163,830.281,0,26569,4330747
164,836.378,0,26896,4410944
165,842.481,0,27225,4492125
166,848.59,0,27556,4574296
167,854.705,0,27889,4657463
168,860.826,0,28224,4741632
169,866.953,0,28561,4826809
170,873.086,0,28900,4913000
171,879.224,0,29241,5000211
172,885.369,0,29584,5088448
173,891.519,0,29929,5177717
174,897.676,0,30276,5268024
175,903.838,0,30625,5359375
176,910.005,0,30976,5451776
177,916.179,0,31329,5545233
178,922.357,0,31684,5639752
179,928.542,0,32041,5735339
180,934.732,0,32400,5832000
181,940.928,0,32761,5929741
182,947.129,0,33124,6028568
183,953.336,0,33489,6128487
184,959.548,0,33856,6229504
185,965.766,0,34225,6331625
186,971.989,0,34596,6434856
187,978.217,0,34969,6539203
188,984.451,0,35344,6644672
189,990.69,0,35721,6751269
190,996.935,0,36100,6859000
191,1003.18,0,36481,6967871
192,1009.44,0,36864,7077888
193,1015.7,0,37249,7189057
194,1021.96,0,37636,7301384
195,1028.23,0,38025,7414875
196,1034.51,0,38416,7529536
197,1040.79,0,38809,7645373
198,1047.08,0,39204,7762392
199,1053.37,0,39601,7880599
200,1059.66,0,40000,8000000
201,1065.96,0,40401,8120601
202,1072.27,0,40804,8242408
203,1078.58,0,41209,8365427
204,1084.9,0,41616,8489664
205,1091.22,0,42025,8615125
206,1097.54,0,42436,8741816
207,1103.87,0,42849,8869743
208,1110.21,0,43264,8998912
209,1116.55,0,43681,9129329
210,1122.89,0,44100,9261000
211,1129.24,0,44521,9393931
212,1135.6,0,44944,9528128
213,1141.96,0,45369,9663597
214,1148.32,0,45796,9800344
215,1154.69,0,46225,9938375
216,1161.06,0,46656,10077696
217,1167.44,0,47089,10218313
218,1173.82,0,47524,10360232
219,1180.21,0,47961,10503459
220,1186.6,0,48400,10648000
221,1192.99,0,48841,10793861
222,1199.39,0,49284,10941048
223,1205.8,0,49729,11089567
224,1212.21,0,50176,11239424
225,1218.62,0,50625,11390625
226,1225.04,0,51076,11543176
227,1231.46,0,51529,11697083
228,1237.89,0,51984,11852352
229,1244.32,0,52441,12008989
230,1250.76,0,52900,12167000
231,1257.2,0,53361,12326391
232,1263.64,0,53824,12487168
233,1270.09,0,54289,12649337
234,1276.55,0,54756,12812904
235,1283,0,55225,12977875
236,1289.46,0,55696,13144256
237,1295.93,0,56169,13312053
238,1302.4,0,56644,13481272
239,1308.87,0,57121,13651919
240,1315.35,0,57600,13824000
241,1321.84,0,58081,13997521
242,1328.32,0,58564,14172488
243,1334.81,0,59049,14348907
244,1341.31,0,59536,14526784
245,1347.81,0,60025,14706125
246,1354.31,0,60516,14886936
247,1360.82,0,61009,15069223
248,1367.33,0,61504,15252992
249,1373.85,0,62001,15438249
250,1380.37,0,62500,15625000
251,1386.89,0,63001,15813251
252,1393.42,0,63504,16003008
253,1399.95,0,64009,16194277
254,1406.48,0,64516,16387064
255,1413.02,0,65025,16581375
256,1419.57,0,65536,16777216
257,1426.11,0,66049,16974593
258,1432.66,0,66564,17173512
259,1439.22,0,67081,17373979
260,1445.78,0,67600,17576000
261,1452.34,0,68121,17779581
262,1458.91,0,68644,17984728
263,1465.48,0,69169,18191447
264,1472.05,0,69696,18399744
265,1478.63,0,70225,18609625
266,1485.21,0,70756,18821096
267,1491.8,0,71289,19034163
268,1498.38,0,71824,19248832
269,1504.98,0,72361,19465109
270,1511.57,0,72900,19683000
271,1518.17,0,73441,19902511
272,1524.78,0,73984,20123648
273,1531.39,0,74529,20346417
274,1538,0,75076,20570824
275,1544.61,0,75625,20796875
276,1551.23,0,76176,21024576
277,1557.85,0,76729,21253933
278,1564.48,0,77284,21484952
279,1571.11,0,77841,21717639
280,1577.74,0,78400,21952000
281,1584.38,0,78961,22188041
282,1591.02,0,79524,22425768
283,1597.66,0,80089,22665187
284,1604.31,0,80656,22906304
285,1610.96,0,81225,23149125
286,1617.61,0,81796,23393656
287,1624.27,0,82369,23639903
288,1630.93,0,82944,23887872
289,1637.6,0,83521,24137569
290,1644.27,0,84100,24389000
291,1650.94,0,84681,24642171
292,1657.61,0,85264,24897088
293,1664.29,0,85849,25153757
294,1670.97,0,86436,25412184
295,1677.66,0,87025,25672375
296,1684.35,0,87616,25934336
297,1691.04,0,88209,26198073
298,1697.73,0,88804,26463592
299,1704.43,0,89401,26730899
300,1711.13,0,90000,27000000
301,1717.84,0,90601,27270901
302,1724.55,0,91204,27543608
303,1731.26,0,91809,27818127
304,1737.98,0,92416,28094464
305,1744.7,0,93025,28372625
306,1751.42,0,93636,28652616
307,1758.14,0,94249,28934443
308,1764.87,0,94864,29218112
309,1771.6,0,95481,29503629
310,1778.34,0,96100,29791000
311,1785.08,0,96721,30080231
312,1791.82,0,97344,30371328
313,1798.56,0,97969,30664297
314,1805.31,0,98596,30959144
315,1812.06,0,99225,31255875
316,1818.81,0,99856,31554496
317,1825.57,0,100489,31855013
318,1832.33,0,101124,32157432
319,1839.1,0,101761,32461759
